min_vol_expansion_prob,min_sentiment_vol_prob,min_breakout_prob,tp_atr_mult_base,sl_atr_mult_base,net_pnl,trades,win_rate,profit_factor,sharpe
0.5,0.6,0.55,2.5,0.75,0,0,0,0,0
0.55,0.45,0.5,1.5,1.25,0,0,0,0,0
0.55,0.45,0.5,1.5,1.0,0,0,0,0,0
0.55,0.45,0.5,1.5,0.75,0,0,0,0,0
0.55,0.45,0.45,2.5,1.25,0,0,0,0,0
0.55,0.45,0.45,2.5,1.0,0,0,0,0,0
0.55,0.45,0.45,2.5,0.75,0,0,0,0,0
0.55,0.45,0.45,2.0,1.25,0,0,0,0,0
0.55,0.45,0.45,2.0,1.0,0,0,0,0,0
0.55,0.45,0.45,2.0,0.75,0,0,0,0,0
0.55,0.45,0.45,1.5,1.25,0,0,0,0,0
0.55,0.45,0.45,1.5,1.0,0,0,0,0,0
0.55,0.45,0.45,1.5,0.75,0,0,0,0,0
0.5,0.6,0.55,2.5,1.25,0,0,0,0,0
0.5,0.6,0.55,2.5,1.0,0,0,0,0,0
0.5,0.6,0.55,2.0,1.25,0,0,0,0,0
0.5,0.6,0.45,2.5,1.25,0,0,0,0,0
0.5,0.6,0.55,2.0,1.0,0,0,0,0,0
0.5,0.6,0.55,2.0,0.75,0,0,0,0,0
0.5,0.6,0.55,1.5,1.25,0,0,0,0,0
0.5,0.6,0.55,1.5,1.0,0,0,0,0,0
0.5,0.6,0.55,1.5,0.75,0,0,0,0,0
0.5,0.6,0.5,2.5,1.25,0,0,0,0,0
0.5,0.6,0.5,2.5,1.0,0,0,0,0,0
0.5,0.6,0.5,2.5,0.75,0,0,0,0,0
0.5,0.6,0.5,2.0,1.25,0,0,0,0,0
0.5,0.6,0.5,2.0,1.0,0,0,0,0,0
0.5,0.6,0.5,2.0,0.75,0,0,0,0,0
0.5,0.6,0.5,1.5,1.25,0,0,0,0,0
0.5,0.6,0.5,1.5,1.0,0,0,0,0,0
0.5,0.6,0.5,1.5,0.75,0,0,0,0,0
0.55,0.55,0.55,2.5,1.25,0,0,0,0,0
0.55,0.6,0.45,1.5,0.75,0,0,0,0,0
0.55,0.6,0.45,1.5,1.0,0,0,0,0,0
0.6,0.55,0.45,2.0,1.0,0,0,0,0,0
0.6,0.55,0.55,1.5,0.75,0,0,0,0,0
0.6,0.55,0.5,2.5,1.25,0,0,0,0,0
0.6,0.55,0.5,2.5,1.0,0,0,0,0,0
0.6,0.55,0.5,2.5,0.75,0,0,0,0,0
0.6,0.55,0.5,2.0,1.25,0,0,0,0,0
0.6,0.55,0.5,2.0,1.0,0,0,0,0,0
0.6,0.55,0.5,2.0,0.75,0,0,0,0,0
0.6,0.55,0.5,1.5,1.25,0,0,0,0,0
0.6,0.55,0.5,1.5,1.0,0,0,0,0,0
0.6,0.55,0.5,1.5,0.75,0,0,0,0,0
0.6,0.55,0.45,2.5,1.25,0,0,0,0,0
0.6,0.55,0.45,2.5,1.0,0,0,0,0,0
0.6,0.55,0.45,2.5,0.75,0,0,0,0,0
0.6,0.55,0.45,2.0,1.25,0,0,0,0,0
0.6,0.55,0.45,2.0,0.75,0,0,0,0,0
0.6,0.55,0.55,1.5,1.25,0,0,0,0,0
0.6,0.55,0.45,1.5,1.25,0,0,0,0,0
0.6,0.55,0.45,1.5,1.0,0,0,0,0,0
0.6,0.55,0.45,1.5,0.75,0,0,0,0,0
0.6,0.5,0.55,2.5,1.25,0,0,0,0,0
0.6,0.5,0.55,2.5,1.0,0,0,0,0,0
0.6,0.5,0.55,2.5,0.75,0,0,0,0,0
0.6,0.5,0.55,2.0,1.25,0,0,0,0,0
0.6,0.5,0.55,2.0,1.0,0,0,0,0,0
0.6,0.5,0.55,2.0,0.75,0,0,0,0,0
0.6,0.5,0.55,1.5,1.25,0,0,0,0,0
0.6,0.5,0.55,1.5,1.0,0,0,0,0,0
0.6,0.5,0.55,1.5,0.75,0,0,0,0,0
0.6,0.5,0.5,2.5,1.25,0,0,0,0,0
0.6,0.5,0.5,2.5,1.0,0,0,0,0,0
0.6,0.55,0.55,1.5,1.0,0,0,0,0,0
0.6,0.55,0.55,2.0,0.75,0,0,0,0,0
0.55,0.6,0.45,1.5,1.25,0,0,0,0,0
0.6,0.6,0.5,1.5,1.25,0,0,0,0,0
0.6,0.6,0.55,2.5,1.0,0,0,0,0,0
0.6,0.6,0.55,2.5,0.75,0,0,0,0,0
0.6,0.6,0.55,2.0,1.25,0,0,0,0,0
0.6,0.6,0.55,2.0,1.0,0,0,0,0,0
0.6,0.6,0.55,2.0,0.75,0,0,0,0,0
0.6,0.6,0.55,1.5,1.25,0,0,0,0,0
0.6,0.6,0.55,1.5,1.0,0,0,0,0,0
0.6,0.6,0.55,1.5,0.75,0,0,0,0,0
0.6,0.6,0.5,2.5,1.25,0,0,0,0,0
0.6,0.6,0.5,2.5,1.0,0,0,0,0,0
0.6,0.6,0.5,2.5,0.75,0,0,0,0,0
0.6,0.6,0.5,2.0,1.25,0,0,0,0,0
0.6,0.6,0.5,2.0,1.0,0,0,0,0,0
0.6,0.6,0.5,2.0,0.75,0,0,0,0,0
0.6,0.6,0.5,1.5,1.0,0,0,0,0,0
0.6,0.55,0.55,2.0,1.0,0,0,0,0,0
0.6,0.6,0.5,1.5,0.75,0,0,0,0,0
0.6,0.6,0.45,2.5,1.25,0,0,0,0,0
0.6,0.6,0.45,2.5,1.0,0,0,0,0,0
0.6,0.6,0.45,2.5,0.75,0,0,0,0,0
0.6,0.6,0.45,2.0,1.25,0,0,0,0,0
0.6,0.6,0.45,2.0,1.0,0,0,0,0,0
0.6,0.6,0.45,2.0,0.75,0,0,0,0,0
0.6,0.6,0.45,1.5,1.25,0,0,0,0,0
0.6,0.6,0.45,1.5,1.0,0,0,0,0,0
0.6,0.6,0.45,1.5,0.75,0,0,0,0,0
0.6,0.55,0.55,2.5,1.25,0,0,0,0,0
0.6,0.55,0.55,2.5,1.0,0,0,0,0,0
0.6,0.55,0.55,2.5,0.75,0,0,0,0,0
0.6,0.55,0.55,2.0,1.25,0,0,0,0,0
0.6,0.5,0.5,2.5,0.75,0,0,0,0,0
0.6,0.5,0.5,2.0,1.25,0,0,0,0,0
0.6,0.5,0.5,2.0,1.0,0,0,0,0,0
0.55,0.6,0.55,1.5,0.75,0,0,0,0,0
0.6,0.45,0.45,2.0,1.25,0,0,0,0,0
0.6,0.45,0.45,2.0,1.0,0,0,0,0,0
0.6,0.45,0.45,2.0,0.75,0,0,0,0,0
0.6,0.45,0.45,1.5,1.25,0,0,0,0,0
0.6,0.45,0.45,1.5,1.0,0,0,0,0,0
0.6,0.45,0.45,1.5,0.75,0,0,0,0,0
0.55,0.6,0.55,2.5,1.25,0,0,0,0,0
0.55,0.6,0.55,2.5,1.0,0,0,0,0,0
0.55,0.6,0.55,2.5,0.75,0,0,0,0,0
0.55,0.6,0.55,2.0,1.25,0,0,0,0,0
0.55,0.6,0.55,2.0,1.0,0,0,0,0,0
0.55,0.6,0.55,2.0,0.75,0,0,0,0,0
0.55,0.6,0.55,1.5,1.25,0,0,0,0,0
0.55,0.6,0.55,1.5,1.0,0,0,0,0,0
0.55,0.6,0.5,2.5,1.25,0,0,0,0,0
0.6,0.5,0.5,2.0,0.75,0,0,0,0,0
0.55,0.6,0.5,2.5,1.0,0,0,0,0,0
0.55,0.6,0.5,2.5,0.75,0,0,0,0,0
0.55,0.6,0.5,2.0,1.25,0,0,0,0,0
0.55,0.6,0.5,2.0,1.0,0,0,0,0,0
0.55,0.6,0.5,2.0,0.75,0,0,0,0,0
0.55,0.6,0.5,1.5,1.25,0,0,0,0,0
0.55,0.6,0.5,1.5,1.0,0,0,0,0,0
0.55,0.6,0.5,1.5,0.75,0,0,0,0,0
0.55,0.6,0.45,2.5,1.25,0,0,0,0,0
0.55,0.6,0.45,2.5,1.0,0,0,0,0,0
0.55,0.6,0.45,2.5,0.75,0,0,0,0,0
0.55,0.6,0.45,2.0,1.25,0,0,0,0,0
0.55,0.6,0.45,2.0,1.0,0,0,0,0,0
0.55,0.6,0.45,2.0,0.75,0,0,0,0,0
0.6,0.45,0.45,2.5,0.75,0,0,0,0,0
0.6,0.45,0.45,2.5,1.0,0,0,0,0,0
0.6,0.45,0.45,2.5,1.25,0,0,0,0,0
0.6,0.45,0.5,1.5,0.75,0,0,0,0,0
0.6,0.5,0.5,1.5,1.25,0,0,0,0,0
0.6,0.5,0.5,1.5,1.0,0,0,0,0,0
0.6,0.5,0.5,1.5,0.75,0,0,0,0,0
0.6,0.5,0.45,2.5,1.25,0,0,0,0,0
0.6,0.5,0.45,2.5,1.0,0,0,0,0,0
0.6,0.5,0.45,2.5,0.75,0,0,0,0,0
0.6,0.5,0.45,2.0,1.25,0,0,0,0,0
0.6,0.5,0.45,2.0,1.0,0,0,0,0,0
0.6,0.5,0.45,2.0,0.75,0,0,0,0,0
0.6,0.5,0.45,1.5,1.25,0,0,0,0,0
0.6,0.5,0.45,1.5,1.0,0,0,0,0,0
0.6,0.5,0.45,1.5,0.75,0,0,0,0,0
0.6,0.45,0.55,2.5,1.25,0,0,0,0,0
0.6,0.45,0.55,2.5,1.0,0,0,0,0,0
0.6,0.45,0.55,2.5,0.75,0,0,0,0,0
0.6,0.45,0.55,2.0,1.25,0,0,0,0,0
0.6,0.45,0.55,2.0,1.0,0,0,0,0,0
0.6,0.45,0.55,2.0,0.75,0,0,0,0,0
0.6,0.45,0.55,1.5,1.25,0,0,0,0,0
0.6,0.45,0.55,1.5,1.0,0,0,0,0,0
0.6,0.45,0.55,1.5,0.75,0,0,0,0,0
0.6,0.45,0.5,2.5,1.25,0,0,0,0,0
0.6,0.45,0.5,2.5,1.0,0,0,0,0,0
0.6,0.45,0.5,2.5,0.75,0,0,0,0,0
0.6,0.45,0.5,2.0,1.25,0,0,0,0,0
0.6,0.45,0.5,2.0,1.0,0,0,0,0,0
0.6,0.45,0.5,2.0,0.75,0,0,0,0,0
0.6,0.45,0.5,1.5,1.25,0,0,0,0,0
0.6,0.45,0.5,1.5,1.0,0,0,0,0,0
0.5,0.55,0.45,1.5,1.0,0,0,0,0,0
0.5,0.55,0.45,1.5,0.75,0,0,0,0,0
0.5,0.5,0.55,2.5,1.25,0,0,0,0,0
0.4,0.6,0.45,2.0,0.75,0,0,0,0,0
0.4,0.6,0.5,2.5,1.25,0,0,0,0,0
0.4,0.6,0.5,2.5,1.0,0,0,0,0,0
0.4,0.6,0.5,2.5,0.75,0,0,0,0,0
0.4,0.6,0.5,2.0,1.25,0,0,0,0,0
0.4,0.6,0.5,2.0,1.0,0,0,0,0,0
0.4,0.6,0.5,2.0,0.75,0,0,0,0,0
0.4,0.6,0.5,1.5,1.25,0,0,0,0,0
0.4,0.6,0.5,1.5,1.0,0,0,0,0,0
0.4,0.6,0.5,1.5,0.75,0,0,0,0,0
0.4,0.6,0.45,2.5,1.25,0,0,0,0,0
0.4,0.6,0.45,2.5,1.0,0,0,0,0,0
0.4,0.6,0.45,2.5,0.75,0,0,0,0,0
0.4,0.6,0.45,2.0,1.25,0,0,0,0,0
0.4,0.6,0.45,2.0,1.0,0,0,0,0,0
0.4,0.6,0.45,1.5,1.25,0,0,0,0,0
0.4,0.6,0.55,1.5,1.0,0,0,0,0,0
0.4,0.6,0.45,1.5,1.0,0,0,0,0,0
0.4,0.6,0.45,1.5,0.75,0,0,0,0,0
0.4,0.55,0.55,2.5,1.25,0,0,0,0,0
0.4,0.55,0.55,2.5,1.0,0,0,0,0,0
0.4,0.55,0.55,2.5,0.75,0,0,0,0,0
0.4,0.55,0.55,2.0,1.25,0,0,0,0,0
0.4,0.55,0.55,2.0,1.0,0,0,0,0,0
0.4,0.55,0.55,2.0,0.75,0,0,0,0,0
0.4,0.55,0.55,1.5,1.25,0,0,0,0,0
0.4,0.55,0.55,1.5,1.0,0,0,0,0,0
0.4,0.55,0.55,1.5,0.75,0,0,0,0,0
0.4,0.55,0.5,2.5,1.25,0,0,0,0,0
0.4,0.55,0.5,2.5,1.0,0,0,0,0,0
0.4,0.55,0.5,2.5,0.75,0,0,0,0,0
0.4,0.6,0.55,1.5,0.75,0,0,0,0,0
0.4,0.6,0.55,1.5,1.25,0,0,0,0,0
0.45,0.45,0.55,2.5,1.25,0,0,0,0,0
0.45,0.45,0.5,1.5,1.0,0,0,0,0,0
0.45,0.45,0.55,2.5,0.75,0,0,0,0,0
0.45,0.45,0.55,2.0,1.25,0,0,0,0,0
0.45,0.45,0.55,2.0,1.0,0,0,0,0,0
0.45,0.45,0.55,2.0,0.75,0,0,0,0,0
0.45,0.45,0.55,1.5,1.25,0,0,0,0,0
0.45,0.45,0.55,1.5,1.0,0,0,0,0,0
0.45,0.45,0.55,1.5,0.75,0,0,0,0,0
0.45,0.45,0.5,2.5,1.25,0,0,0,0,0
0.45,0.45,0.5,2.5,1.0,0,0,0,0,0
0.45,0.45,0.5,2.5,0.75,0,0,0,0,0
0.45,0.45,0.5,2.0,1.25,0,0,0,0,0
0.45,0.45,0.5,2.0,1.0,0,0,0,0,0
0.45,0.45,0.5,2.0,0.75,0,0,0,0,0
0.45,0.45,0.5,1.5,1.25,0,0,0,0,0
0.45,0.45,0.5,1.5,0.75,0,0,0,0,0
0.4,0.6,0.55,2.0,0.75,0,0,0,0,0
0.45,0.45,0.45,2.5,1.25,0,0,0,0,0
0.45,0.45,0.45,2.5,1.0,0,0,0,0,0
0.45,0.45,0.45,2.5,0.75,0,0,0,0,0
0.45,0.45,0.45,2.0,1.25,0,0,0,0,0
0.45,0.45,0.45,2.0,1.0,0,0,0,0,0
0.45,0.45,0.45,2.0,0.75,0,0,0,0,0
0.45,0.45,0.45,1.5,1.25,0,0,0,0,0
0.45,0.45,0.45,1.5,1.0,0,0,0,0,0
0.45,0.45,0.45,1.5,0.75,0,0,0,0,0
0.4,0.6,0.55,2.5,1.25,0,0,0,0,0
0.4,0.6,0.55,2.5,1.0,0,0,0,0,0
0.4,0.6,0.55,2.5,0.75,0,0,0,0,0
0.4,0.6,0.55,2.0,1.25,0,0,0,0,0
0.4,0.6,0.55,2.0,1.0,0,0,0,0,0
0.4,0.55,0.5,2.0,1.25,0,0,0,0,0
0.4,0.55,0.5,2.0,1.0,0,0,0,0,0
0.4,0.55,0.5,2.0,0.75,0,0,0,0,0
0.4,0.45,0.5,2.5,1.25,0,0,0,0,0
0.4,0.5,0.45,2.0,1.0,0,0,0,0,0
0.4,0.5,0.45,2.0,0.75,0,0,0,0,0
0.4,0.5,0.45,1.5,1.25,0,0,0,0,0
0.4,0.5,0.45,1.5,1.0,0,0,0,0,0
0.4,0.5,0.45,1.5,0.75,0,0,0,0,0
0.4,0.45,0.55,2.5,1.25,0,0,0,0,0
0.4,0.45,0.55,2.5,1.0,0,0,0,0,0
0.4,0.45,0.55,2.5,0.75,0,0,0,0,0
0.4,0.45,0.55,2.0,1.25,0,0,0,0,0
0.4,0.45,0.55,2.0,1.0,0,0,0,0,0
0.4,0.45,0.55,2.0,0.75,0,0,0,0,0
0.4,0.45,0.55,1.5,1.25,0,0,0,0,0
0.4,0.45,0.55,1.5,1.0,0,0,0,0,0
0.4,0.45,0.55,1.5,0.75,0,0,0,0,0
0.4,0.45,0.5,2.5,1.0,0,0,0,0,0
0.4,0.55,0.5,1.5,1.25,0,0,0,0,0
0.4,0.45,0.5,2.5,0.75,0,0,0,0,0
0.4,0.45,0.5,2.0,1.25,0,0,0,0,0
0.4,0.45,0.5,2.0,1.0,0,0,0,0,0
0.4,0.45,0.5,2.0,0.75,0,0,0,0,0
0.4,0.45,0.5,1.5,1.25,0,0,0,0,0
0.4,0.45,0.5,1.5,1.0,0,0,0,0,0
0.4,0.45,0.5,1.5,0.75,0,0,0,0,0
0.4,0.45,0.45,2.5,1.25,0,0,0,0,0
0.4,0.45,0.45,2.5,1.0,0,0,0,0,0
0.4,0.45,0.45,2.5,0.75,0,0,0,0,0
0.4,0.45,0.45,2.0,1.25,0,0,0,0,0
0.4,0.45,0.45,2.0,1.0,0,0,0,0,0
0.4,0.45,0.45,2.0,0.75,0,0,0,0,0
0.4,0.45,0.45,1.5,1.25,0,0,0,0,0
0.4,0.5,0.45,2.0,1.25,0,0,0,0,0
0.4,0.5,0.45,2.5,0.75,0,0,0,0,0
0.4,0.5,0.45,2.5,1.0,0,0,0,0,0
0.4,0.5,0.45,2.5,1.25,0,0,0,0,0
0.4,0.55,0.5,1.5,1.0,0,0,0,0,0
0.4,0.55,0.5,1.5,0.75,0,0,0,0,0
0.4,0.55,0.45,2.5,1.25,0,0,0,0,0
0.4,0.55,0.45,2.5,1.0,0,0,0,0,0
0.4,0.55,0.45,2.5,0.75,0,0,0,0,0
0.4,0.55,0.45,2.0,1.25,0,0,0,0,0
0.4,0.55,0.45,2.0,1.0,0,0,0,0,0
0.4,0.55,0.45,2.0,0.75,0,0,0,0,0
0.4,0.55,0.45,1.5,1.25,0,0,0,0,0
0.4,0.55,0.45,1.5,1.0,0,0,0,0,0
0.4,0.55,0.45,1.5,0.75,0,0,0,0,0
0.4,0.5,0.55,2.5,1.25,0,0,0,0,0
0.4,0.5,0.55,2.5,1.0,0,0,0,0,0
0.4,0.5,0.55,2.5,0.75,0,0,0,0,0
0.4,0.5,0.55,2.0,1.25,0,0,0,0,0
0.4,0.5,0.55,2.0,1.0,0,0,0,0,0
0.4,0.5,0.55,2.0,0.75,0,0,0,0,0
0.4,0.5,0.55,1.5,1.25,0,0,0,0,0
0.4,0.5,0.55,1.5,1.0,0,0,0,0,0
0.4,0.5,0.55,1.5,0.75,0,0,0,0,0
0.4,0.5,0.5,2.5,1.25,0,0,0,0,0
0.4,0.5,0.5,2.5,1.0,0,0,0,0,0
0.4,0.5,0.5,2.5,0.75,0,0,0,0,0
0.4,0.5,0.5,2.0,1.25,0,0,0,0,0
0.4,0.5,0.5,2.0,1.0,0,0,0,0,0
0.4,0.5,0.5,2.0,0.75,0,0,0,0,0
0.4,0.5,0.5,1.5,1.25,0,0,0,0,0
0.4,0.5,0.5,1.5,1.0,0,0,0,0,0
0.4,0.5,0.5,1.5,0.75,0,0,0,0,0
0.45,0.45,0.55,2.5,1.0,0,0,0,0,0
0.45,0.5,0.45,1.5,0.75,0,0,0,0,0
0.5,0.5,0.55,2.5,1.0,0,0,0,0,0
0.5,0.45,0.45,2.0,0.75,0,0,0,0,0
0.5,0.45,0.5,2.5,1.25,0,0,0,0,0
0.5,0.45,0.5,2.5,1.0,0,0,0,0,0
0.5,0.45,0.5,2.5,0.75,0,0,0,0,0
0.5,0.45,0.5,2.0,1.25,0,0,0,0,0
0.5,0.45,0.5,2.0,1.0,0,0,0,0,0
0.5,0.45,0.5,2.0,0.75,0,0,0,0,0
0.5,0.45,0.5,1.5,1.25,0,0,0,0,0
0.5,0.45,0.5,1.5,1.0,0,0,0,0,0
0.5,0.45,0.5,1.5,0.75,0,0,0,0,0
0.5,0.45,0.45,2.5,1.25,0,0,0,0,0
0.5,0.45,0.45,2.5,1.0,0,0,0,0,0
0.5,0.45,0.45,2.5,0.75,0,0,0,0,0
0.5,0.45,0.45,2.0,1.25,0,0,0,0,0
0.5,0.45,0.45,2.0,1.0,0,0,0,0,0
0.5,0.45,0.45,1.5,1.25,0,0,0,0,0
0.5,0.45,0.55,1.5,1.0,0,0,0,0,0
0.5,0.45,0.45,1.5,1.0,0,0,0,0,0
0.5,0.45,0.45,1.5,0.75,0,0,0,0,0
0.45,0.6,0.55,2.5,1.25,0,0,0,0,0
0.45,0.6,0.55,2.5,1.0,0,0,0,0,0
0.45,0.6,0.55,2.5,0.75,0,0,0,0,0
0.45,0.6,0.55,2.0,1.25,0,0,0,0,0
0.45,0.6,0.55,2.0,1.0,0,0,0,0,0
0.45,0.6,0.55,2.0,0.75,0,0,0,0,0
0.45,0.6,0.55,1.5,1.25,0,0,0,0,0
0.45,0.6,0.55,1.5,1.0,0,0,0,0,0
0.45,0.6,0.55,1.5,0.75,0,0,0,0,0
0.45,0.6,0.5,2.5,1.25,0,0,0,0,0
0.45,0.6,0.5,2.5,1.0,0,0,0,0,0
0.45,0.6,0.5,2.5,0.75,0,0,0,0,0
0.5,0.45,0.55,1.5,0.75,0,0,0,0,0
0.5,0.45,0.55,1.5,1.25,0,0,0,0,0
0.45,0.5,0.45,1.5,1.0,0,0,0,0,0
0.5,0.5,0.5,1.5,1.0,0,0,0,0,0
0.5,0.5,0.55,2.5,0.75,0,0,0,0,0
0.5,0.5,0.55,2.0,1.25,0,0,0,0,0
0.5,0.5,0.55,2.0,1.0,0,0,0,0,0
0.5,0.5,0.55,2.0,0.75,0,0,0,0,0
0.5,0.5,0.55,1.5,1.25,0,0,0,0,0
0.5,0.5,0.55,1.5,1.0,0,0,0,0,0
0.5,0.5,0.55,1.5,0.75,0,0,0,0,0
0.5,0.5,0.5,2.5,1.25,0,0,0,0,0
0.5,0.5,0.5,2.5,1.0,0,0,0,0,0
0.5,0.5,0.5,2.5,0.75,0,0,0,0,0
0.5,0.5,0.5,2.0,1.25,0,0,0,0,0
0.5,0.5,0.5,2.0,1.0,0,0,0,0,0
0.5,0.5,0.5,2.0,0.75,0,0,0,0,0
0.5,0.5,0.5,1.5,1.25,0,0,0,0,0
0.5,0.5,0.5,1.5,0.75,0,0,0,0,0
0.5,0.45,0.55,2.0,0.75,0,0,0,0,0
0.5,0.5,0.45,2.5,1.25,0,0,0,0,0
0.5,0.5,0.45,2.5,1.0,0,0,0,0,0
0.5,0.5,0.45,2.5,0.75,0,0,0,0,0
